20.356	1.000	30.000	478.456	49.957	20.758	53.606	2.412	58.353	45.067	28.841	492.154	-153.157	-162.149	-111.170	-84.568	-85.716	-159.639	-164.440	22.063	21.036	102869.000
20.778	1.000	31.000	482.756	51.747	21.890	55.178	1.206	58.729	45.438	31.669	494.612	-153.157	-161.948	-111.931	-83.217	-86.550	-160.814	-163.893	22.063	21.033	102869.000
21.200	1.000	32.000	480.887	49.599	20.569	54.304	1.206	58.729	45.067	30.349	495.368	-153.707	-163.351	-113.454	-84.568	-85.925	-161.989	-165.352	22.063	21.036	102869.000
21.622	1.000	33.000	479.765	51.210	21.324	54.304	1.407	59.854	46.736	30.915	492.910	-153.341	-163.351	-113.074	-83.989	-85.925	-161.793	-164.987	22.063	21.036	102869.000
22.044	1.000	34.000	484.626	51.926	22.645	55.003	0.804	59.854	46.551	32.225	497.637	-153.524	-162.750	-113.073	-82.830	-86.550	-162.381	-165.308	22.063	21.047	102869.000
22.466	1.000	35.000	482.943	47.450	20.192	55.527	0.402	58.353	44.696	30.718	498.204	-156.275	-164.153	-114.977	-84.954	-89.053	-164.731	-167.130	22.063	21.036	102869.000
22.888	1.000	36.000	479.391	47.987	19.815	54.479	0.201	56.477	44.325	29.775	496.124	-156.459	-164.554	-114.406	-84.182	-88.010	-161.205	-163.303	22.063	21.036	102869.000
23.310	1.000	37.000	481.073	52.463	22.645	54.479	1.407	58.729	45.994	30.718	494.801	-153.340	-162.950	-114.406	-84.182	-85.299	-161.205	-162.756	22.063	21.040	102869.000
23.731	1.000	38.000	481.634	50.315	21.135	53.781	0.804	59.104	45.253	31.283	494.234	-154.991	-163.952	-113.835	-84.375	-86.550	-160.618	-163.121	22.063	21.047	102869.000
24.153	1.000	39.000	478.643	47.987	19.248	53.431	1.407	57.228	45.067	29.595	493.667	-154.258	-163.351	-117.261	-84.375	-86.550	-158.267	-160.247	22.063	21.040	102869.000
24.575	1.000	40.000	478.269	48.703	19.815	52.733	2.211	57.603	44.696	27.898	493.477	-154.074	-163.552	-115.929	-85.341	-86.759	-160.422	-163.529	22.063	21.055	102869.000
24.997	1.000	41.000	479.952	46.734	20.381	54.465	1.809	56.868	43.212	29.775	495.368	-155.175	-165.155	-116.119	-85.534	-87.150	-167.278	-173.556	22.063	21.051	102869.000
25.419	1.000	42.000	481.447	49.599	21.324	53.955	2.814	57.978	45.253	30.915	494.234	-154.441	-164.153	-115.739	-83.796	-85.716	-156.700	-160.794	22.063	21.062	102869.000
25.841	1.000	43.000	482.008	49.599	20.758	54.828	0.804	58.541	45.438	31.660	495.557	-154.624	-163.952	-114.787	-84.182	-87.593	-158.659	-163.850	22.063	21.073	102869.000
26.263	1.000	44.000	481.634	49.240	21.513	54.654	1.005	57.415	44.882	31.283	498.204	-157.559	-165.355	-115.738	-86.113	-87.801	-159.443	-164.214	22.063	21.073	102869.000
26.685	1.000	45.000	481.447	50.315	21.324	54.130	1.608	57.978	44.511	30.718	493.856	-154.074	-163.351	-115.929	-83.603	-86.759	-160.618	-166.037	22.063	21.081	102869.000
27.107	1.000	46.000	482.008	48.524	20.003	54.828	0.402	57.603	45.253	30.718	495.935	-155.358	-164.754	-117.452	-84.568	-89.678	-166.298	-166.766	22.063	21.077	102869.000
27.529	1.000	47.000	478.082	47.092	19.815	53.431	0.402	56.102	44.140	29.964	494.801	-155.908	-164.353	-116.690	-84.375	-86.967	-160.030	-163.850	22.063	21.081	102869.000
27.951	1.000	48.000	476.960	46.376	20.569	53.257	1.005	56.852	42.656	29.775	492.343	-155.175	-163.151	-117.261	-84.954	-87.384	-163.360	-166.401	22.063	21.081	102869.000
28.373	1.000	49.000	480.139	49.599	20.758	54.304	1.608	58.353	44.140	30.349	494.612	-154.441	-162.950	-118.213	-84.375	-86.550	-158.072	-162.799	22.063	21.088	102869.000
