 -45.00000	  36.77054
 -40.00000	  10.55868
 -35.00000	   5.84412
 -30.00000	   3.92931
 -25.00000	   2.87862
 -20.00000	   2.15646
 -19.00000	   2.03542
 -18.00000	   1.91662
 -17.00000	   1.79767
 -16.00000	   1.68870
 -15.00000	   1.57347
 -14.00000	   1.46708
 -13.00000	   1.37509
 -12.00000	   1.27915
 -11.00000	   1.18193
 -10.00000	   1.07151
  -9.50000	   1.03299
  -9.00000	   0.98841
  -8.50000	   0.93616
  -8.00000	   0.90569
  -7.50000	   0.84915
  -7.00000	   0.79693
  -6.50000	   0.75600
  -6.00000	   0.69969
  -5.50000	   0.65505
  -5.00000	   0.60032
  -4.50000	   0.56127
  -4.00000	   0.50573
  -3.50000	   0.46400
  -3.00000	   0.41762
  -2.50000	   0.37663
  -2.00000	   0.32045
  -1.50000	   0.27402
  -1.00000	   0.22941
  -0.50000	   0.18122
   0.00000	   0.14392
   0.50000	   0.08927
   1.00000	   0.03707
   1.50000	  -0.00872
   2.00000	  -0.05717
   2.50000	  -0.09758
   3.00000	  -0.16784
   3.50000	  -0.20767
   4.00000	  -0.25362
   4.50000	  -0.30367
   5.00000	  -0.36261
   5.50000	  -0.40667
   6.00000	  -0.46267
   6.50000	  -0.50666
   7.00000	  -0.55838
   7.50000	  -0.60130
   8.00000	  -0.65599
   8.50000	  -0.70687
   9.00000	  -0.75607
   9.50000	  -0.80832
  10.00000	  -0.85976
  11.00000	  -0.96714
  12.00000	  -1.08517
  13.00000	  -1.20443
  14.00000	  -1.31180
  15.00000	  -1.42890
  16.00000	  -1.55624
  17.00000	  -1.65603
  18.00000	  -1.81173
  19.00000	  -1.95348
  20.00000	  -2.09674
  25.00000	  -3.08994
  30.00000	  -4.77951
  35.00000	  -8.87291
  40.00000	 -36.95510
  45.00000	  20.51334
